transaction id,transaction_type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000070822,P2P,Other,344,SUCCESS,36-45,26-35,Telangana,HDFC,ICICI,Web,5G,0,20,Wednesday,0
TXN0000140147,P2M,Grocery,1990,SUCCESS,26-35,36-45,Uttar Pradesh,Axis,Yes Bank,iOS,5G,0,7,Sunday,1
TXN0000049242,P2P,Fuel,2464,SUCCESS,18-25,26-35,Rajasthan,SBI,PNB,Android,4G,0,17,Saturday,1
TXN0000161427,P2P,Grocery,139,SUCCESS,26-35,36-45,Gujarat,HDFC,Axis,Android,4G,0,19,Tuesday,0
TXN0000069347,P2M,Shopping,1040,FAILED,36-45,18-25,Delhi,HDFC,HDFC,Android,5G,0,9,Wednesday,0
TXN0000080911,P2P,Entertainment,226,SUCCESS,26-35,18-25,Rajasthan,IndusInd,Kotak,Android,5G,0,17,Saturday,1
TXN0000219527,P2P,Other,190,SUCCESS,18-25,46-55,Andhra Pradesh,HDFC,Yes Bank,Android,5G,0,13,Monday,0
TXN0000217218,Bill Payment,Grocery,267,SUCCESS,46-55,36-45,Delhi,Kotak,SBI,Android,4G,0,12,Sunday,1
TXN0000001606,Bill Payment,Grocery,173,SUCCESS,26-35,36-45,Karnataka,Yes Bank,HDFC,Android,4G,0,19,Saturday,1
TXN0000164530,P2P,Other,473,SUCCESS,26-35,26-35,Gujarat,Kotak,SBI,Android,4G,0,1,Tuesday,0
TXN0000155577,P2M,Fuel,3756,SUCCESS,26-35,36-45,Rajasthan,SBI,Axis,iOS,3G,0,18,Sunday,1
TXN0000168934,Bill Payment,Food,204,SUCCESS,36-45,36-45,Maharashtra,Axis,PNB,Android,4G,0,18,Wednesday,0
TXN0000023332,P2M,Utilities,455,SUCCESS,18-25,18-25,Uttar Pradesh,HDFC,SBI,iOS,4G,0,10,Saturday,1
TXN0000163122,Bill Payment,Fuel,698,SUCCESS,56+,18-25,Gujarat,PNB,Yes Bank,Android,4G,0,9,Thursday,0
TXN0000147272,Bill Payment,Fuel,823,SUCCESS,36-45,36-45,Gujarat,Axis,Axis,Web,5G,0,10,Tuesday,0
TXN0000091749,P2P,Healthcare,418,SUCCESS,26-35,26-35,Tamil Nadu,SBI,Yes Bank,Web,5G,0,19,Saturday,1
TXN0000109877,P2M,Food,2765,SUCCESS,18-25,18-25,West Bengal,SBI,PNB,Android,5G,0,15,Tuesday,0
TXN0000093096,Bill Payment,Fuel,2756,SUCCESS,36-45,36-45,Gujarat,ICICI,ICICI,Android,4G,0,8,Tuesday,0
TXN0000206374,Recharge,Transport,87,SUCCESS,18-25,36-45,Karnataka,PNB,Axis,Android,3G,0,13,Friday,0
TXN0000224523,P2P,Grocery,260,SUCCESS,18-25,36-45,Karnataka,ICICI,SBI,iOS,3G,0,22,Saturday,1
TXN0000063531,P2M,Entertainment,575,SUCCESS,26-35,26-35,Andhra Pradesh,ICICI,Kotak,Android,WiFi,0,16,Thursday,0
TXN0000136673,P2P,Utilities,2579,SUCCESS,26-35,18-25,Rajasthan,SBI,Yes Bank,Android,WiFi,0,10,Tuesday,0
TXN0000111719,P2P,Other,318,SUCCESS,26-35,18-25,Telangana,Axis,PNB,iOS,WiFi,0,5,Monday,0
TXN0000195459,P2P,Healthcare,198,SUCCESS,36-45,26-35,Andhra Pradesh,Yes Bank,SBI,Android,WiFi,0,19,Wednesday,0
TXN0000127776,P2M,Grocery,2999,SUCCESS,36-45,36-45,Telangana,Kotak,SBI,Android,4G,0,11,Thursday,0
TXN0000243123,P2P,Other,390,SUCCESS,18-25,26-35,Uttar Pradesh,SBI,ICICI,Android,4G,0,12,Friday,0
TXN0000003721,P2M,Utilities,1866,SUCCESS,26-35,26-35,Delhi,Axis,Yes Bank,Android,5G,0,13,Sunday,1
TXN0000242556,P2M,Food,103,SUCCESS,36-45,18-25,Gujarat,Yes Bank,SBI,Android,5G,0,12,Wednesday,0
TXN0000016716,P2P,Other,792,SUCCESS,18-25,26-35,West Bengal,HDFC,IndusInd,iOS,WiFi,0,16,Saturday,1
TXN0000063186,P2M,Entertainment,151,FAILED,36-45,56+,West Bengal,Yes Bank,Kotak,Android,5G,0,23,Friday,0
TXN0000150883,Recharge,Shopping,1626,SUCCESS,46-55,18-25,Gujarat,Kotak,IndusInd,Android,4G,0,11,Monday,0
TXN0000134564,Bill Payment,Grocery,1032,SUCCESS,18-25,26-35,Gujarat,SBI,PNB,Android,4G,0,11,Saturday,1
TXN0000145361,P2P,Grocery,1718,SUCCESS,18-25,36-45,Uttar Pradesh,Yes Bank,Axis,Android,4G,0,9,Tuesday,0
TXN0000042216,P2P,Food,1083,SUCCESS,26-35,46-55,Gujarat,SBI,ICICI,Web,5G,0,17,Wednesday,0
TXN0000207612,P2P,Transport,489,SUCCESS,56+,46-55,Maharashtra,HDFC,HDFC,Android,4G,0,12,Tuesday,0
TXN0000249497,P2M,Transport,692,SUCCESS,26-35,26-35,Karnataka,IndusInd,PNB,Android,4G,0,18,Thursday,0
TXN0000132971,P2M,Other,212,SUCCESS,46-55,36-45,Maharashtra,Axis,ICICI,Android,4G,0,3,Friday,0
TXN0000114895,P2M,Other,609,SUCCESS,36-45,36-45,Telangana,SBI,SBI,Web,4G,0,12,Monday,0
TXN0000086989,Bill Payment,Food,406,SUCCESS,26-35,46-55,West Bengal,HDFC,Kotak,Android,4G,0,19,Friday,0
TXN0000125992,P2M,Entertainment,1081,SUCCESS,46-55,26-35,Maharashtra,SBI,ICICI,iOS,WiFi,0,20,Thursday,0
TXN0000075226,Bill Payment,Utilities,1657,SUCCESS,36-45,36-45,Uttar Pradesh,SBI,IndusInd,Android,5G,0,18,Saturday,1
TXN0000087924,P2P,Transport,279,SUCCESS,36-45,18-25,Karnataka,ICICI,IndusInd,Android,3G,0,17,Monday,0
TXN0000159630,P2P,Education,354,SUCCESS,18-25,26-35,Karnataka,Yes Bank,IndusInd,Android,3G,0,11,Sunday,1
TXN0000230300,P2M,Healthcare,573,SUCCESS,26-35,26-35,Tamil Nadu,Yes Bank,Yes Bank,Android,4G,0,9,Tuesday,0
TXN0000183007,P2P,Shopping,265,SUCCESS,36-45,36-45,Delhi,Yes Bank,PNB,Android,4G,0,23,Wednesday,0
TXN0000213710,P2P,Transport,20,SUCCESS,56+,26-35,Delhi,IndusInd,ICICI,Web,5G,0,19,Thursday,0
TXN0000172678,P2P,Education,2139,SUCCESS,18-25,26-35,Delhi,HDFC,SBI,Android,4G,0,18,Saturday,1
TXN0000101159,P2P,Transport,107,SUCCESS,36-45,26-35,Maharashtra,IndusInd,Axis,Android,WiFi,0,13,Friday,0
TXN0000106662,P2M,Other,1536,SUCCESS,18-25,26-35,Telangana,SBI,SBI,Android,4G,0,23,Friday,0
TXN0000127733,Bill Payment,Utilities,177,SUCCESS,18-25,36-45,Gujarat,IndusInd,HDFC,Android,WiFi,0,22,Wednesday,0
TXN0000213452,P2P,Grocery,2136,SUCCESS,26-35,18-25,Delhi,PNB,HDFC,Android,4G,0,17,Friday,0
TXN0000142181,P2P,Entertainment,211,SUCCESS,26-35,18-25,Gujarat,Yes Bank,HDFC,iOS,4G,0,18,Tuesday,0
TXN0000029712,Bill Payment,Shopping,350,SUCCESS,26-35,18-25,West Bengal,Axis,IndusInd,Android,5G,0,17,Monday,0
TXN0000155087,P2P,Entertainment,724,FAILED,18-25,18-25,Delhi,Yes Bank,ICICI,Android,4G,0,6,Saturday,1
TXN0000206044,P2M,Fuel,542,SUCCESS,36-45,46-55,Maharashtra,IndusInd,IndusInd,Android,4G,0,8,Sunday,1
TXN0000006306,P2M,Grocery,257,SUCCESS,36-45,36-45,Uttar Pradesh,SBI,Axis,Android,4G,0,16,Tuesday,0
TXN0000199619,P2M,Grocery,781,SUCCESS,18-25,26-35,Rajasthan,Yes Bank,Yes Bank,Android,WiFi,0,13,Sunday,1
TXN0000164686,P2M,Shopping,551,SUCCESS,26-35,18-25,Andhra Pradesh,Axis,SBI,Android,4G,0,6,Tuesday,0
TXN0000133053,P2M,Education,1034,SUCCESS,18-25,26-35,Telangana,SBI,Kotak,iOS,5G,0,19,Sunday,1
TXN0000122733,P2P,Other,2177,SUCCESS,18-25,26-35,Andhra Pradesh,HDFC,SBI,Android,5G,0,12,Thursday,0
TXN0000083861,Recharge,Shopping,373,FAILED,18-25,46-55,Delhi,ICICI,PNB,Android,4G,0,9,Thursday,0
TXN0000207185,Bill Payment,Shopping,1978,SUCCESS,26-35,26-35,West Bengal,SBI,HDFC,Android,4G,0,21,Thursday,0
TXN0000191388,P2P,Utilities,1520,SUCCESS,26-35,18-25,Telangana,HDFC,Axis,Android,4G,0,6,Wednesday,0
TXN0000018317,P2P,Other,857,FAILED,36-45,26-35,Karnataka,PNB,SBI,iOS,WiFi,0,18,Friday,0
TXN0000084666,P2P,Food,522,SUCCESS,56+,36-45,Maharashtra,Yes Bank,IndusInd,Android,4G,1,10,Sunday,1
TXN0000060039,P2M,Transport,89,SUCCESS,56+,18-25,Andhra Pradesh,PNB,PNB,iOS,4G,0,15,Thursday,0
TXN0000227882,P2P,Transport,213,SUCCESS,18-25,26-35,Tamil Nadu,SBI,HDFC,Android,3G,0,13,Wednesday,0
TXN0000213136,P2M,Grocery,1738,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,SBI,Web,5G,0,11,Monday,0
TXN0000019811,P2P,Other,1179,SUCCESS,36-45,26-35,Karnataka,SBI,ICICI,iOS,4G,0,14,Friday,0
TXN0000132875,P2M,Grocery,880,SUCCESS,18-25,18-25,Delhi,Axis,SBI,Android,WiFi,0,20,Thursday,0
TXN0000143947,Bill Payment,Food,581,SUCCESS,36-45,18-25,Delhi,PNB,SBI,Android,4G,0,6,Monday,0
TXN0000057940,P2P,Food,393,SUCCESS,18-25,36-45,Maharashtra,SBI,SBI,iOS,4G,0,19,Saturday,1
TXN0000105974,P2P,Food,254,FAILED,18-25,26-35,Gujarat,IndusInd,Yes Bank,Android,4G,0,21,Saturday,1
TXN0000061859,P2P,Utilities,6204,SUCCESS,26-35,46-55,Maharashtra,Axis,Yes Bank,iOS,4G,0,9,Thursday,0
TXN0000111473,Recharge,Shopping,996,SUCCESS,36-45,26-35,Maharashtra,ICICI,Yes Bank,Android,WiFi,0,18,Monday,0
TXN0000104860,P2P,Other,3023,SUCCESS,26-35,26-35,Tamil Nadu,SBI,HDFC,Android,4G,0,11,Wednesday,0
TXN0000039264,P2P,Entertainment,323,SUCCESS,26-35,36-45,Maharashtra,IndusInd,HDFC,iOS,4G,0,8,Sunday,1
TXN0000061064,Recharge,Grocery,78,SUCCESS,26-35,26-35,Tamil Nadu,Axis,Axis,iOS,5G,0,19,Thursday,0
TXN0000092375,P2M,Other,476,SUCCESS,26-35,26-35,Delhi,Axis,IndusInd,iOS,WiFi,0,13,Monday,0
TXN0000196676,P2M,Food,69,SUCCESS,36-45,56+,Gujarat,HDFC,HDFC,Android,4G,0,5,Sunday,1
TXN0000203835,P2P,Food,460,SUCCESS,18-25,46-55,Maharashtra,Yes Bank,SBI,Android,5G,0,18,Wednesday,0
TXN0000238039,P2M,Shopping,5879,SUCCESS,26-35,26-35,Karnataka,Axis,ICICI,iOS,WiFi,0,14,Friday,0
TXN0000202449,P2M,Grocery,172,SUCCESS,26-35,18-25,Maharashtra,HDFC,SBI,iOS,4G,0,15,Tuesday,0
TXN0000105724,P2M,Other,624,FAILED,26-35,26-35,Tamil Nadu,PNB,PNB,iOS,4G,0,7,Saturday,1
TXN0000208022,P2P,Grocery,2032,SUCCESS,26-35,18-25,Rajasthan,ICICI,SBI,Android,5G,0,18,Saturday,1
TXN0000159526,P2P,Transport,473,SUCCESS,36-45,18-25,Telangana,HDFC,ICICI,Android,5G,0,9,Saturday,1
TXN0000034595,Bill Payment,Transport,99,SUCCESS,26-35,26-35,Maharashtra,HDFC,HDFC,Android,5G,0,18,Tuesday,0
TXN0000102305,P2P,Shopping,545,SUCCESS,26-35,18-25,West Bengal,IndusInd,SBI,Android,5G,0,11,Sunday,1
TXN0000183737,P2M,Other,578,SUCCESS,18-25,56+,Maharashtra,Yes Bank,SBI,Android,3G,0,21,Tuesday,0
TXN0000081122,P2M,Grocery,2586,SUCCESS,26-35,18-25,Rajasthan,HDFC,SBI,Android,4G,0,21,Saturday,1
TXN0000121170,P2M,Grocery,294,SUCCESS,46-55,18-25,Delhi,Kotak,PNB,Web,5G,0,9,Sunday,1
TXN0000246068,Bill Payment,Shopping,8082,SUCCESS,26-35,46-55,Uttar Pradesh,SBI,Axis,Android,4G,0,19,Saturday,1
TXN0000103897,P2M,Other,404,SUCCESS,46-55,26-35,Tamil Nadu,HDFC,HDFC,iOS,4G,0,15,Monday,0
TXN0000113429,Recharge,Food,311,SUCCESS,26-35,26-35,Maharashtra,Yes Bank,PNB,Android,5G,0,8,Monday,0
TXN0000099260,P2M,Entertainment,292,SUCCESS,18-25,36-45,Andhra Pradesh,Yes Bank,ICICI,Android,4G,0,17,Tuesday,0
TXN0000013235,P2P,Entertainment,423,SUCCESS,26-35,26-35,Maharashtra,SBI,Kotak,Android,5G,0,21,Friday,0
TXN0000124070,P2M,Transport,258,SUCCESS,18-25,26-35,Andhra Pradesh,HDFC,SBI,Android,4G,0,14,Friday,0
TXN0000079531,P2M,Food,127,SUCCESS,56+,18-25,Rajasthan,HDFC,SBI,Android,4G,0,10,Sunday,1
TXN0000011827,P2M,Grocery,176,SUCCESS,18-25,46-55,Gujarat,SBI,SBI,iOS,WiFi,0,18,Monday,0
TXN0000073691,Bill Payment,Grocery,488,SUCCESS,18-25,26-35,West Bengal,SBI,HDFC,Android,WiFi,0,14,Sunday,1
TXN0000030448,Bill Payment,Food,183,SUCCESS,26-35,26-35,Gujarat,PNB,Kotak,Android,4G,0,19,Sunday,1
TXN0000053145,P2P,Food,70,SUCCESS,18-25,26-35,Telangana,SBI,IndusInd,Android,4G,0,11,Tuesday,0
TXN0000245018,P2M,Grocery,432,SUCCESS,26-35,36-45,Rajasthan,Yes Bank,Yes Bank,Android,4G,0,20,Sunday,1
TXN0000221428,P2M,Food,186,SUCCESS,18-25,36-45,Maharashtra,Yes Bank,HDFC,Android,4G,0,13,Saturday,1
TXN0000069725,P2P,Food,81,SUCCESS,46-55,36-45,Delhi,Axis,SBI,iOS,5G,0,17,Wednesday,0
TXN0000123247,P2M,Entertainment,411,SUCCESS,18-25,18-25,Maharashtra,HDFC,HDFC,iOS,5G,0,17,Thursday,0
TXN0000138070,P2M,Entertainment,113,SUCCESS,26-35,26-35,Andhra Pradesh,SBI,SBI,Android,4G,0,20,Sunday,1
TXN0000084459,P2P,Entertainment,1411,SUCCESS,18-25,18-25,West Bengal,Axis,Yes Bank,iOS,4G,0,10,Thursday,0
TXN0000117323,P2P,Other,298,SUCCESS,36-45,26-35,Karnataka,Axis,PNB,Android,4G,0,8,Wednesday,0
TXN0000114100,Bill Payment,Transport,114,SUCCESS,36-45,18-25,Uttar Pradesh,ICICI,Axis,Android,4G,0,20,Wednesday,0
TXN0000109237,Bill Payment,Grocery,600,SUCCESS,18-25,26-35,Gujarat,SBI,PNB,Android,4G,0,1,Thursday,0
TXN0000155066,P2M,Shopping,2445,FAILED,36-45,18-25,Maharashtra,Kotak,Axis,iOS,5G,0,22,Wednesday,0
TXN0000216917,P2P,Utilities,3268,SUCCESS,36-45,18-25,Maharashtra,HDFC,ICICI,Web,4G,0,20,Saturday,1
TXN0000141565,P2M,Grocery,506,SUCCESS,26-35,18-25,Uttar Pradesh,Axis,SBI,iOS,WiFi,0,8,Thursday,0
TXN0000237716,P2P,Entertainment,686,FAILED,26-35,26-35,Rajasthan,SBI,ICICI,Android,WiFi,0,20,Monday,0
TXN0000155064,P2M,Grocery,806,SUCCESS,36-45,18-25,Delhi,SBI,SBI,Android,5G,0,18,Saturday,1
TXN0000084718,P2M,Food,2372,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,ICICI,Android,4G,0,19,Monday,0
TXN0000051572,P2M,Grocery,1999,SUCCESS,18-25,36-45,Telangana,SBI,Yes Bank,Android,4G,0,16,Tuesday,0
TXN0000146411,P2M,Entertainment,140,SUCCESS,26-35,36-45,West Bengal,SBI,SBI,Android,5G,0,21,Saturday,1
TXN0000042919,P2M,Grocery,1178,SUCCESS,26-35,18-25,Telangana,SBI,SBI,iOS,4G,0,16,Tuesday,0
TXN0000052710,P2M,Entertainment,135,SUCCESS,56+,36-45,Uttar Pradesh,HDFC,Kotak,iOS,5G,0,17,Sunday,1
TXN0000152156,P2M,Shopping,2617,SUCCESS,18-25,36-45,Maharashtra,SBI,Yes Bank,iOS,4G,0,23,Sunday,1
TXN0000020003,Bill Payment,Healthcare,1295,SUCCESS,36-45,18-25,Telangana,HDFC,PNB,iOS,5G,0,12,Monday,0
TXN0000040388,P2P,Other,953,SUCCESS,26-35,26-35,Delhi,SBI,Axis,Web,4G,0,20,Monday,0
TXN0000183582,P2M,Transport,1254,SUCCESS,46-55,18-25,Rajasthan,SBI,Yes Bank,Android,4G,0,20,Tuesday,0
TXN0000157250,P2M,Food,255,SUCCESS,26-35,36-45,Maharashtra,Axis,PNB,Android,3G,0,9,Friday,0
TXN0000099573,P2M,Transport,100,SUCCESS,26-35,26-35,Delhi,Axis,Axis,iOS,5G,0,16,Sunday,1
TXN0000055746,P2M,Transport,47,SUCCESS,26-35,36-45,Maharashtra,ICICI,Axis,Android,5G,0,20,Monday,0
TXN0000242935,P2M,Healthcare,395,SUCCESS,26-35,18-25,Telangana,Axis,SBI,Android,4G,0,20,Wednesday,0
TXN0000059165,P2M,Shopping,953,SUCCESS,46-55,18-25,Maharashtra,ICICI,Kotak,Android,4G,0,9,Saturday,1
TXN0000007009,P2P,Grocery,1260,SUCCESS,18-25,56+,Telangana,ICICI,ICICI,Android,4G,0,22,Monday,0
TXN0000214942,P2M,Grocery,703,SUCCESS,18-25,18-25,Tamil Nadu,Yes Bank,Axis,iOS,4G,0,10,Friday,0
TXN0000159742,P2P,Food,1338,SUCCESS,18-25,36-45,Karnataka,Yes Bank,SBI,iOS,4G,0,10,Saturday,1
TXN0000168271,P2M,Entertainment,1087,SUCCESS,26-35,18-25,Maharashtra,SBI,ICICI,Android,3G,0,18,Sunday,1
TXN0000196038,Bill Payment,Shopping,481,SUCCESS,18-25,18-25,Telangana,HDFC,ICICI,Android,4G,0,13,Saturday,1
TXN0000116546,P2P,Education,2148,SUCCESS,26-35,36-45,Gujarat,HDFC,HDFC,iOS,WiFi,0,9,Tuesday,0
TXN0000190136,P2M,Grocery,3256,SUCCESS,36-45,46-55,Delhi,HDFC,SBI,Android,4G,0,17,Friday,0
TXN0000079752,P2P,Grocery,1413,SUCCESS,26-35,56+,Telangana,Axis,IndusInd,Android,4G,0,17,Saturday,1
TXN0000012357,Bill Payment,Fuel,2975,SUCCESS,26-35,18-25,Maharashtra,ICICI,SBI,Android,4G,0,13,Monday,0
TXN0000132504,Bill Payment,Shopping,2400,SUCCESS,36-45,26-35,Tamil Nadu,Yes Bank,ICICI,Android,3G,0,1,Tuesday,0
TXN0000090769,Bill Payment,Grocery,3487,SUCCESS,26-35,18-25,Tamil Nadu,Kotak,IndusInd,Android,5G,0,10,Monday,0
TXN0000052376,P2M,Fuel,2527,SUCCESS,18-25,18-25,Uttar Pradesh,ICICI,IndusInd,Android,4G,0,21,Sunday,1
TXN0000062876,P2P,Healthcare,270,SUCCESS,18-25,26-35,Delhi,SBI,SBI,Android,4G,0,11,Tuesday,0
TXN0000144990,Bill Payment,Fuel,631,SUCCESS,26-35,26-35,Rajasthan,ICICI,HDFC,Web,4G,0,17,Wednesday,0
TXN0000237566,Bill Payment,Other,982,SUCCESS,18-25,36-45,Telangana,SBI,PNB,Android,WiFi,0,18,Friday,0
TXN0000071928,P2P,Grocery,365,SUCCESS,26-35,26-35,Telangana,ICICI,HDFC,iOS,4G,0,22,Wednesday,0
TXN0000117797,P2P,Grocery,356,SUCCESS,18-25,18-25,Maharashtra,Yes Bank,SBI,Android,4G,0,10,Friday,0
TXN0000035293,P2P,Other,1186,SUCCESS,26-35,36-45,Karnataka,IndusInd,Axis,Android,4G,0,20,Friday,0
TXN0000098453,P2P,Transport,463,FAILED,26-35,56+,Delhi,ICICI,Kotak,Android,5G,0,10,Monday,0
TXN0000189938,P2M,Education,1367,SUCCESS,36-45,36-45,Andhra Pradesh,PNB,Kotak,Android,4G,0,21,Wednesday,0
TXN0000198371,P2P,Shopping,1141,SUCCESS,46-55,18-25,Tamil Nadu,HDFC,Kotak,Android,4G,0,11,Wednesday,0
TXN0000194777,P2M,Food,434,SUCCESS,46-55,18-25,Gujarat,SBI,ICICI,Android,4G,0,20,Sunday,1
TXN0000035945,P2M,Grocery,2441,SUCCESS,36-45,36-45,Uttar Pradesh,HDFC,PNB,iOS,4G,0,13,Thursday,0
TXN0000235708,Bill Payment,Utilities,1816,FAILED,26-35,36-45,Tamil Nadu,SBI,HDFC,Android,5G,0,17,Saturday,1
TXN0000184698,Bill Payment,Education,18187,SUCCESS,26-35,26-35,Delhi,Yes Bank,ICICI,Android,5G,0,15,Friday,0
TXN0000009284,P2M,Fuel,319,SUCCESS,18-25,26-35,Rajasthan,Kotak,Axis,Android,4G,0,18,Saturday,1
TXN0000183623,P2P,Utilities,741,SUCCESS,36-45,26-35,Delhi,Yes Bank,Yes Bank,Android,3G,0,19,Sunday,1
TXN0000112493,P2P,Education,2139,SUCCESS,26-35,18-25,Tamil Nadu,ICICI,ICICI,Android,4G,0,20,Friday,0
TXN0000134462,P2P,Other,795,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,Kotak,Web,4G,0,17,Sunday,1
TXN0000093096,Bill Payment,Fuel,2756,SUCCESS,36-45,36-45,Gujarat,ICICI,ICICI,Android,4G,0,8,Tuesday,0
TXN0000192455,P2M,Food,979,SUCCESS,36-45,26-35,Maharashtra,SBI,HDFC,Android,4G,0,16,Tuesday,0
TXN0000016429,P2M,Transport,741,SUCCESS,26-35,56+,Karnataka,Yes Bank,IndusInd,Android,4G,0,17,Thursday,0
TXN0000191573,Bill Payment,Education,2387,SUCCESS,18-25,26-35,Tamil Nadu,HDFC,SBI,Android,4G,0,22,Monday,0
TXN0000245657,P2P,Fuel,1647,SUCCESS,26-35,18-25,Delhi,IndusInd,ICICI,Android,5G,0,11,Wednesday,0
TXN0000139994,P2M,Grocery,402,SUCCESS,36-45,18-25,Telangana,SBI,SBI,Android,4G,0,22,Saturday,1
TXN0000225868,P2P,Grocery,3062,SUCCESS,36-45,26-35,Delhi,Kotak,ICICI,Android,4G,0,18,Thursday,0
TXN0000214880,P2M,Utilities,4408,SUCCESS,36-45,26-35,Delhi,IndusInd,Axis,Android,4G,0,20,Tuesday,0
TXN0000122690,P2P,Healthcare,219,SUCCESS,26-35,26-35,Telangana,Axis,Yes Bank,Android,4G,0,17,Wednesday,0
TXN0000205731,P2P,Transport,112,SUCCESS,18-25,36-45,Maharashtra,IndusInd,HDFC,iOS,4G,0,22,Friday,0
TXN0000089571,P2M,Education,1217,SUCCESS,36-45,18-25,Uttar Pradesh,PNB,Kotak,Android,WiFi,0,17,Sunday,1
TXN0000225876,Recharge,Food,630,SUCCESS,26-35,46-55,Uttar Pradesh,Yes Bank,Kotak,Android,4G,0,18,Monday,0
TXN0000193393,P2P,Shopping,195,SUCCESS,56+,26-35,Andhra Pradesh,SBI,SBI,Android,4G,0,16,Saturday,1
TXN0000014358,P2M,Food,203,SUCCESS,18-25,36-45,Delhi,Axis,ICICI,Android,4G,0,12,Wednesday,0
TXN0000154835,Bill Payment,Food,806,SUCCESS,36-45,18-25,Maharashtra,IndusInd,Yes Bank,Android,4G,0,10,Saturday,1
TXN0000165141,P2P,Grocery,463,SUCCESS,36-45,36-45,Tamil Nadu,PNB,Axis,iOS,5G,0,20,Friday,0
TXN0000231801,P2P,Utilities,1477,SUCCESS,26-35,26-35,Maharashtra,ICICI,HDFC,Android,4G,0,19,Saturday,1
TXN0000113013,P2M,Entertainment,145,FAILED,36-45,36-45,West Bengal,SBI,PNB,Android,4G,0,15,Friday,0
TXN0000225282,P2P,Entertainment,227,SUCCESS,26-35,36-45,West Bengal,PNB,SBI,Android,4G,0,20,Thursday,0
TXN0000205111,P2M,Food,258,FAILED,36-45,26-35,Karnataka,Yes Bank,SBI,Android,5G,0,12,Saturday,1
TXN0000095463,P2P,Fuel,276,SUCCESS,56+,36-45,Karnataka,Axis,ICICI,iOS,5G,0,21,Wednesday,0
TXN0000152712,Recharge,Grocery,1963,SUCCESS,36-45,18-25,Uttar Pradesh,SBI,SBI,Android,5G,0,21,Saturday,1
TXN0000084046,P2M,Fuel,384,SUCCESS,18-25,18-25,Maharashtra,PNB,SBI,Android,4G,0,13,Sunday,1
TXN0000228929,P2M,Other,498,SUCCESS,26-35,36-45,Gujarat,HDFC,Kotak,Web,4G,0,11,Saturday,1
TXN0000011550,Bill Payment,Shopping,2654,SUCCESS,18-25,26-35,Delhi,PNB,PNB,Android,5G,0,17,Monday,0
TXN0000048782,P2P,Shopping,2220,SUCCESS,26-35,46-55,Rajasthan,HDFC,Axis,Android,5G,0,17,Sunday,1
TXN0000078534,P2P,Grocery,181,SUCCESS,18-25,26-35,Maharashtra,Kotak,HDFC,iOS,5G,0,10,Tuesday,0
TXN0000171104,P2M,Food,255,SUCCESS,26-35,36-45,Rajasthan,PNB,SBI,Android,5G,0,22,Monday,0
TXN0000223280,P2P,Education,1291,SUCCESS,26-35,18-25,Uttar Pradesh,ICICI,IndusInd,Android,4G,0,9,Wednesday,0
TXN0000101191,P2M,Fuel,584,SUCCESS,18-25,26-35,Telangana,Yes Bank,ICICI,Android,5G,0,10,Tuesday,0
TXN0000079974,P2M,Fuel,3162,SUCCESS,36-45,36-45,Rajasthan,SBI,IndusInd,Android,4G,0,11,Monday,0
TXN0000028366,Bill Payment,Utilities,712,SUCCESS,18-25,36-45,Rajasthan,Kotak,HDFC,iOS,WiFi,0,10,Monday,0
TXN0000024649,P2P,Grocery,784,SUCCESS,56+,18-25,Tamil Nadu,SBI,HDFC,Android,4G,0,13,Friday,0
TXN0000192959,P2P,Fuel,761,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,Yes Bank,Android,5G,0,11,Saturday,1
TXN0000026036,Bill Payment,Shopping,2803,SUCCESS,18-25,36-45,Telangana,SBI,SBI,Android,4G,0,13,Sunday,1
TXN0000199042,P2P,Other,1106,SUCCESS,26-35,26-35,Tamil Nadu,HDFC,Kotak,Android,WiFi,0,22,Wednesday,0
TXN0000024919,P2P,Shopping,1410,SUCCESS,18-25,36-45,Karnataka,ICICI,Yes Bank,iOS,3G,0,17,Wednesday,0
TXN0000209654,Bill Payment,Shopping,1934,SUCCESS,56+,26-35,Maharashtra,ICICI,Axis,Android,3G,0,13,Monday,0
TXN0000075226,Bill Payment,Utilities,1657,SUCCESS,36-45,36-45,Uttar Pradesh,SBI,IndusInd,Android,5G,0,18,Saturday,1
TXN0000247523,P2M,Education,3481,SUCCESS,36-45,18-25,Tamil Nadu,PNB,Yes Bank,Android,4G,0,6,Sunday,1
TXN0000136702,P2M,Transport,701,SUCCESS,46-55,36-45,Maharashtra,ICICI,SBI,Android,4G,0,16,Tuesday,0
TXN0000143688,P2P,Fuel,3286,SUCCESS,36-45,46-55,Karnataka,SBI,HDFC,Android,4G,0,18,Sunday,1
TXN0000191534,P2M,Other,798,SUCCESS,26-35,26-35,Karnataka,IndusInd,SBI,Android,5G,0,20,Friday,0
TXN0000170686,P2P,Grocery,312,SUCCESS,56+,26-35,Delhi,ICICI,Yes Bank,Android,WiFi,0,10,Sunday,1
